id_usuario,direccion_estacion_origen,direccion_estacion_destino,duracion_recorrido,distancia,dia
101918,"Juncal & Salguero, Jeronimo",1321 Villarroel & Humboldt CABA,1666,3226.66,Martes
101918,"Juncal & Salguero, Jeronimo",1321 Villarroel & Humboldt CABA,1407,3226.66,Lunes
101918,"2300 Diaz, Cnel. Av. & French",1321 Villarroel & Humboldt CABA,1628,3516.05,Viernes
101918,"2300 Diaz, Cnel. Av. & French",1321 Villarroel & Humboldt CABA,1683,3516.05,Martes
172047,Arcos & Roosevelt Franklin D.,1321 Villarroel & Humboldt CABA,1847,4369.74,Martes
536427,902 Esmeralda,1019 Saavedra,2363,3395.68,Viernes
23321,Adolfo Alsina& Bernardo De Irigoyen,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",249,565.13,Miércoles
23321,Adolfo Alsina& Bernardo De Irigoyen,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",310,565.13,Lunes
23321,Adolfo Alsina& Bernardo De Irigoyen,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",296,565.13,Lunes
23321,Adolfo Alsina& Bernardo De Irigoyen,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",302,565.13,Lunes
23321,Adolfo Alsina& Bernardo De Irigoyen,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",274,565.13,Miércoles
23321,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.","169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",964,0,Jueves
23321,Esmeralda y Av.Rivadvia,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",464,347.82,Jueves
207716,Beruti & Ecuador,"Aguero & Mansilla, Lucio Norberto, General",646,671.3,Viernes
460847,Miller & Monroe,Triunvirato Av. & Roosevelt Franklin D. Av.,175,629.04,Sábado
460847,2519 Superi,Triunvirato Av. & Roosevelt Franklin D. Av.,480,1913.95,Domingo
460847,2519 Superi,Triunvirato Av. & Roosevelt Franklin D. Av.,567,1913.95,Domingo
198839,Triunvirato Av. & Roosevelt Franklin D. Av.,Triunvirato Av. & Roosevelt Franklin D. Av.,7926,0,Miércoles
201997,Triunvirato Av. & Roosevelt Franklin D. Av.,Triunvirato Av. & Roosevelt Franklin D. Av.,11368,0,Miércoles
490910,Triunvirato Av. & Roosevelt Franklin D. Av.,Triunvirato Av. & Roosevelt Franklin D. Av.,3681,0,Miércoles
579553,"Argerich & Flores, Venancio, Gral.",Triunvirato Av. & Roosevelt Franklin D. Av.,4340,6385.02,Sábado
245741,Beruti & Ecuador,Cordoba Av. & Montevideo,645,1379.07,Miércoles
278659,300 Almafuerte Av. & Los Patos,300 Almafuerte Av. & Los Patos,10637,0,Jueves
